gvkey,lpermno,datadate,fyear,indfmt,consol,popsrc,datafmt,cusip,CURCD,ACT,AT,CHE,CSHO,DLC,DP,DVP,IB,LCT,LT,PSTKL,PSTKRV,TXDI,TXDITC,UPSTK,COSTAT,SICH,adjex_f,SIC
001300,10145,19841231,1984,INDL,C,D,STD,438516106,USD,2922.0000,8189.0000,145.0000,83.0290,336.0000,462.0000,83.0000,487.0000,2431.0000,4810.0000,654.0000,672.0000,,195.0000,,A,,4.0000,3728
001300,10145,19851231,1985,INDL,C,D,STD,438516106,USD,4960.0000,13271.0040,1125.0000,175.1940,487.0000,362.0000,76.0000,-279.0000,3018.0000,6816.0000,644.0000,661.0000,,377.0000,,A,,4.0000,3728
001300,10145,19861231,1986,INDL,C,D,STD,438516106,USD,4606.0000,11268.0000,193.0000,174.3520,853.0000,368.0000,32.0000,605.0000,3655.0000,7530.0000,68.0000,61.0000,59.0000,569.0000,,A,,4.0000,3728
001300,10145,19871231,1987,INDL,C,D,STD,438516106,USD,4084.0000,10226.0000,349.0000,149.9490,497.0000,347.0000,1.0000,515.0000,3462.0000,7097.0000,0.0000,0.0000,,706.0000,,A,3724,4.0000,3728
001300,10145,19881231,1988,INDL,C,D,STD,438516106,USD,4117.0000,10005.0000,397.0000,147.9610,260.0000,376.0000,0.0000,463.0000,3202.0000,6737.0000,0.0000,0.0000,,717.0000,,A,3724,4.0000,3728
001300,10145,19891231,1989,INDL,C,D,STD,438516106,USD,4141.0000,10132.0000,525.0000,145.0030,479.0000,385.0000,0.0000,528.0000,3227.0000,6720.0000,0.0000,0.0000,69.0000,722.0000,,A,3724,4.0000,3728
001300,10145,19901231,1990,INDL,C,D,STD,438516106,USD,4316.0000,10456.0000,382.0000,134.6880,697.0000,426.0000,0.0000,462.0000,3424.0000,7076.0000,0.0000,0.0000,17.0000,673.0000,,A,3724,4.0000,3728
001300,10145,19911231,1991,INDL,C,D,STD,438516106,USD,4129.0000,10382.0000,238.0000,138.1500,881.0000,470.0000,0.0000,-273.0000,3603.0000,7399.0000,0.0000,0.0000,-196.0000,593.0000,,A,3724,4.0000,3728
001300,10145,19921231,1992,INDL,C,D,STD,438516106,USD,4919.0000,10756.0000,931.0000,141.8830,336.0000,496.0000,0.0000,535.0000,3505.0000,8505.0000,0.0000,0.0000,83.0000,412.0000,,A,3724,4.0000,3728
001300,10145,19931231,1993,INDL,C,D,STD,438516106,USD,4567.0000,10829.0000,892.0000,141.9170,358.0000,514.0000,0.0000,656.0000,3489.0000,8439.0000,0.0000,0.0000,110.0000,339.0000,,A,3724,4.0000,3728
001300,10145,19941231,1994,INDL,C,D,STD,438516106,USD,4585.0000,11321.0000,508.0000,283.1320,263.0000,523.0000,0.0000,759.0000,3391.0000,8339.0000,0.0000,0.0000,180.0000,406.0000,,A,3714,2.0000,3728
001300,10145,19951231,1995,INDL,C,D,STD,438516106,USD,4890.0000,12465.0000,540.0000,282.7700,644.0000,612.0000,0.0000,875.0000,3804.0000,8873.0000,0.0000,0.0000,199.0000,551.0000,,A,3714,2.0000,3728
001300,10145,19961231,1996,INDL,C,D,STD,438516106,USD,5839.0000,12829.0000,1766.0000,282.8150,614.0000,602.0000,0.0000,1020.0000,3696.0000,8649.0000,0.0000,0.0000,213.0000,610.0000,,A,3724,2.0000,3728
001300,10145,19971231,1997,INDL,C,D,STD,438516106,USD,5573.0000,13707.0000,1041.0000,558.3430,1092.0000,609.0000,0.0000,1170.0000,4436.0000,9321.0000,0.0000,0.0000,138.0000,694.0000,,A,3724,1.0000,3728
001300,10145,19981231,1998,INDL,C,D,STD,438516106,USD,5593.0000,15560.0000,712.0000,558.4660,2011.0000,609.0000,0.0000,1331.0000,5185.0000,10263.0000,0.0000,0.0000,233.0000,795.0000,,A,3728,1.0000,3728
001300,10145,19991231,1999,INDL,C,D,STD,438516106,USD,10422.0000,23527.0000,1991.0000,795.1330,2609.0000,881.0000,0.0000,1541.0000,8272.0000,14928.0000,0.0000,0.0000,-11.0000,864.0000,,A,3728,1.0000,3728
001300,10145,20001231,2000,INDL,C,D,STD,438516106,USD,10661.0000,25175.0000,1196.0000,807.2920,1682.0000,995.0000,0.0000,1659.0000,7214.0000,15468.0000,0.0000,0.0000,414.0000,1173.0000,,A,3728,1.0000,3728
001300,10145,20011231,2001,INDL,C,D,STD,438516106,USD,9894.0000,24226.0000,1393.0000,814.9660,539.0000,723.0000,0.0000,-99.0000,6220.0000,15056.0000,0.0000,0.0000,-456.0000,875.0000,,A,3728,1.0000,3728
001300,10145,20021231,2002,INDL,C,D,STD,438516106,USD,10195.0000,27559.0000,2021.0000,854.4930,370.0000,730.0000,0.0000,-220.0000,6574.0000,18634.0000,0.0000,0.0000,-793.0000,419.0000,,A,3728,1.0000,3728
001300,10145,20031231,2003,INDL,C,D,STD,438516106,USD,11523.0000,29344.0000,2950.0000,862.3300,199.0000,661.0000,0.0000,1344.0000,6783.0000,18615.0000,0.0000,0.0000,344.0000,316.0000,,A,3728,1.0000,3728
001300,10145,20041231,2004,INDL,C,D,STD,438516106,USD,12820.0000,31062.0000,3586.0000,850.0130,1204.0000,650.0000,0.0000,1281.0000,8739.0000,19810.0000,0.0000,0.0000,223.0000,397.0000,,A,3728,1.0000,3728
001300,10145,20051231,2005,INDL,C,D,STD,438516106,USD,11962.0000,32294.0000,1234.0000,829.4830,2024.0000,697.0000,0.0000,1581.0000,10430.0000,21040.0000,0.0000,0.0000,52.0000,503.0000,,A,3728,1.0000,3728
001300,10145,20061231,2006,INDL,C,D,STD,438516106,USD,12304.0000,30941.0000,1224.0000,800.5920,1154.0000,794.0000,0.0000,2078.0000,10135.0000,21221.0000,0.0000,0.0000,450.0000,352.0000,,A,3728,1.0000,3728
001300,10145,20071231,2007,INDL,C,D,STD,438516106,USD,13685.0000,33805.0000,1829.0000,746.5540,2238.0000,837.0000,0.0000,2444.0000,11941.0000,24583.0000,0.0000,0.0000,332.0000,734.0000,,A,3728,1.0000,3728
001300,10145,20081231,2008,INDL,C,D,STD,438516106,USD,13263.0000,35490.0000,2065.0000,734.5860,2510.0000,905.0000,0.0000,2792.0000,12289.0000,28303.0000,0.0000,0.0000,115.0000,698.0000,,A,3728,1.0000,3728
001300,10145,20091231,2009,INDL,C,D,STD,438516106,USD,13936.0000,36004.0000,2801.0000,764.2090,1361.0000,960.0000,0.0000,2153.0000,11147.0000,27050.0000,0.0000,0.0000,371.0000,542.0000,,A,3728,1.0000,3728
001300,10145,20101231,2010,INDL,C,D,STD,438516106,USD,15011.0000,37834.0000,2650.0000,783.0000,889.0000,989.0000,0.0000,2022.0000,11717.0000,27047.0000,0.0000,0.0000,878.0000,636.0000,,A,3728,1.0000,3728
001300,10145,20111231,2011,INDL,C,D,STD,438516106,USD,16134.0000,39808.0000,3698.0000,774.7000,674.0000,948.0000,0.0000,1858.0000,12275.0000,28906.0000,0.0000,0.0000,-331.0000,676.0000,,A,3728,1.0000,3728
001440,24109,19611231,1961,INDL,C,D,STD,025537101,USD,120.5750,1561.1100,,21.9030,28.8710,49.6200,4.3320,59.4300,120.4330,1006.1710,98.5250,98.5250,,126.8290,98.5250,A,,2.1116,4911
001440,24109,19621231,1962,INDL,C,D,STD,025537101,USD,134.0130,1654.7660,,43.8070,17.0440,51.5840,4.3200,68.2080,113.5530,1080.7910,98.1330,98.1330,,146.0390,98.1330,A,,1.0558,4911
001440,24109,19631231,1963,INDL,C,D,STD,025537101,USD,141.5530,1724.4490,,45.1210,9.8300,54.4550,4.3100,73.8000,109.7930,1130.7210,98.0890,98.0890,,161.1150,98.0890,A,,1.0250,4911
001440,24109,19641231,1964,INDL,C,D,STD,025537101,USD,150.9570,1752.6810,,45.1210,9.4500,56.8570,4.3080,79.3210,117.2060,1137.9460,98.0630,98.0630,,166.7120,98.0630,A,,1.0250,4911
001440,24109,19651231,1965,INDL,C,D,STD,025537101,USD,142.7700,1828.9290,,45.1210,59.0000,59.1830,4.3040,84.5060,172.4120,1191.0240,97.7940,97.7940,,168.4390,97.7940,A,,1.0250,4911
001440,24109,19661231,1966,INDL,C,D,STD,025537101,USD,159.2500,1987.5200,,46.2490,64.7750,61.1610,4.2930,92.0190,190.3260,1323.4720,97.7350,97.7350,,163.5880,97.7350,A,,1.0000,4911
001440,24109,19671231,1967,INDL,C,D,STD,025537101,USD,138.9900,2155.7520,,47.4490,52.4350,67.1130,4.2900,98.4040,207.4780,1421.4780,97.6260,97.6260,,158.3310,97.6260,A,,1.0000,4911
001440,24109,19681231,1968,INDL,C,D,STD,025537101,USD,178.0260,2385.8430,,47.4490,124.2620,70.5480,4.2800,104.1010,271.4770,1624.7390,97.4140,97.4140,,153.8130,97.4140,A,,1.0000,4911
001440,24109,19691231,1969,INDL,C,D,STD,025537101,USD,181.2450,2786.6080,,50.0000,120.8590,75.4180,4.2730,110.6020,281.0590,1921.7200,97.2950,97.2950,,149.8540,97.2950,A,,1.0000,4911
001440,24109,19701231,1970,INDL,C,D,STD,025537101,USD,197.2360,3241.8880,,54.0000,237.8600,83.0310,4.2670,121.1530,449.2980,2248.5200,97.1320,97.1320,,147.3120,97.1320,A,,1.0000,4911
001440,24109,19711231,1971,INDL,C,D,STD,025537101,USD,250.4980,3808.9680,,59.5000,248.3100,91.9780,9.2000,144.1710,480.4640,2481.0040,251.9770,251.9770,,146.2950,251.9770,A,,1.0000,4911
001440,24109,19721231,1972,INDL,C,D,STD,025537101,USD,367.9390,4434.4380,,59.5000,245.0050,105.7200,20.3460,176.6030,518.7640,2950.0990,356.8970,356.8970,,145.5900,356.8970,A,,1.0000,4911
001440,24109,19731231,1973,INDL,C,D,STD,025537101,USD,384.6870,5071.3160,146.5110,66.0000,315.9840,113.9370,25.3080,207.9200,583.3310,3307.4510,416.5680,416.5680,,143.1030,0.0000,A,,1.0000,4911
001440,24109,19741231,1974,INDL,C,D,STD,025537101,USD,589.4800,5923.1050,130.4350,73.0000,535.1430,126.5480,30.7140,176.5360,882.0440,3906.5170,461.5640,461.5640,,154.8270,0.0000,A,,1.0000,4911
001440,24109,19751231,1975,INDL,C,D,STD,025537101,USD,676.6760,6408.2810,234.5100,83.0000,462.8510,156.4350,38.4590,239.7590,859.9490,4150.5190,532.7100,532.7100,,173.6940,0.0000,A,,1.0000,4911
001440,24109,19761231,1976,INDL,C,D,STD,025537101,USD,753.4210,6879.4570,262.3250,93.0000,375.7660,181.5420,43.7580,285.4790,779.7530,4378.1970,532.6700,532.6700,,222.1630,0.0000,A,,1.0000,4911
001440,24109,19771231,1977,INDL,C,D,STD,025537101,USD,802.4010,7449.6720,200.4900,102.9650,374.4660,184.9160,45.8140,282.7080,819.1830,4667.4130,572.4840,572.4840,,252.2400,0.0000,A,,1.0000,4911
001440,24109,19781231,1978,INDL,C,D,STD,025537101,USD,791.3320,8063.4800,141.7610,110.6750,549.6930,203.5000,52.9100,289.2410,1043.4530,5037.8230,650.9900,650.9900,,309.4850,0.0000,A,,1.0000,4911
001440,24109,19791231,1979,INDL,C,D,STD,025537101,USD,891.4830,8780.3670,112.8080,121.3410,534.7990,223.5610,57.8580,318.4930,1078.6710,5468.2970,730.2020,725.4520,,389.2210,0.0000,A,,1.0000,4911
001440,24109,19801231,1980,INDL,C,D,STD,025537101,USD,1174.4890,10952.0000,80.4600,146.8920,760.1450,283.4510,76.9800,425.3570,1451.1160,6982.2800,878.9530,874.3550,,542.2030,0.0000,A,,1.0000,4911
001440,24109,19811231,1981,INDL,C,D,STD,025537101,USD,1218.0410,11567.0000,90.6440,161.1600,740.0410,319.3300,88.1760,456.4550,1486.5770,7255.9890,989.7160,989.4790,,669.0660,0.0000,A,,1.0000,4911
001440,24109,19821231,1982,INDL,C,D,STD,025537101,USD,1396.6090,12223.8010,121.4340,171.8050,739.6550,334.1370,105.7360,440.7630,1527.1970,7720.6200,1044.3450,1040.6190,150.3960,804.8560,0.0000,A,,1.0000,4911
001440,24109,19831231,1983,INDL,C,D,STD,025537101,USD,1414.0800,12831.9020,109.1780,179.8110,453.7750,341.3540,106.1900,534.1460,1291.1950,8176.2990,1019.7610,1016.3290,,1056.8570,0.0000,A,,1.0000,4911
001440,24109,19841231,1984,INDL,C,D,STD,025537101,USD,1761.5700,13553.2030,397.5730,189.6800,552.0250,348.5190,102.7380,590.3050,1421.2060,8699.3880,991.9410,986.7450,310.8980,1430.9730,0.0000,A,,1.0000,4911
001440,24109,19851231,1985,INDL,C,D,STD,025537101,USD,1691.9550,13621.5040,402.7060,193.5350,546.1190,385.7370,99.8180,584.7820,1407.4900,8723.5660,967.3390,959.6650,282.0280,1730.6800,0.0000,A,,1.0000,4911
001440,24109,19861231,1986,INDL,C,D,STD,025537101,USD,1496.4010,13591.6020,287.8220,193.5350,205.0040,403.5820,95.4990,602.6700,1139.7890,8672.3500,929.7510,911.3310,148.7720,1890.5440,0.0000,A,,1.0000,4911
001440,24109,19871231,1987,INDL,C,D,STD,025537101,USD,1519.0380,14011.0040,230.0320,193.5350,346.5120,419.7730,80.1000,582.5600,1262.0770,9183.2300,778.0330,775.6140,18.4780,1928.5990,0.0000,A,4911,1.0000,4911
001440,24109,19881231,1988,INDL,C,D,STD,025537101,USD,1399.6100,14262.5040,308.3250,193.5350,549.3260,451.1220,66.1120,692.9550,1427.4000,9290.5880,748.3140,745.8950,88.1690,2011.4170,0.0000,A,4911,1.0000,4911
001440,24109,19891231,1989,INDL,C,D,STD,025537101,USD,2371.3630,14745.8010,1172.8060,193.5350,841.8560,462.0190,62.7940,691.7110,2171.7020,9650.5100,721.4990,701.0500,-282.6500,2007.6560,0.0000,A,4911,1.0000,4911
001440,24109,19901231,1990,INDL,C,D,STD,025537101,USD,1400.7220,13989.0980,119.8580,184.5350,435.9400,477.5110,52.6250,549.0390,1359.2680,9142.1170,679.8080,679.8080,-19.8530,2005.9180,0.0000,A,4911,1.0000,4911
